時間戳記,電燈狀態,溫度,濕度
2025-12-05 23:32:24,開,27.46,62.58
2025-12-05 23:37:24,關,26.56,62.29
2025-12-05 23:42:24,關,25.95,64.25
2025-12-05 23:47:24,開,23.61,62.25
2025-12-05 23:52:24,開,27.98,63.43
2025-12-05 23:57:24,開,27.17,61.8
2025-12-06 00:02:24,開,27.6,67.21
2025-12-06 00:07:24,關,29.35,61.47
2025-12-06 00:12:24,關,28.15,59.42
2025-12-06 00:17:24,開,30.14,60.63
2025-12-06 00:22:24,開,22.05,62.88
2025-12-06 00:27:24,關,23.99,65.73
2025-12-06 00:32:24,關,26.45,60.1
2025-12-06 00:37:24,關,29.15,62.5
2025-12-06 00:42:24,關,27.4,64.93
2025-12-06 00:47:24,開,25.71,62.06
2025-12-06 00:52:24,開,27.85,59.58
2025-12-06 00:57:24,開,31.31,57.88
2025-12-06 01:02:24,開,31.66,62.74
2025-12-06 01:07:24,開,30.17,62.83
2025-12-06 01:12:24,開,25.29,66.9
2025-12-06 01:17:24,開,24.07,63.13
2025-12-06 01:22:24,關,23.78,63.99
2025-12-06 01:27:24,關,27.8,62.17
2025-12-06 01:32:24,關,28.1,55.33
2025-12-06 01:37:24,開,29.19,57.96
2025-12-06 01:42:24,開,28.66,60.59
2025-12-06 01:47:24,開,26.98,58.22
2025-12-06 01:52:24,開,28.67,60.36
2025-12-06 01:57:24,開,29.91,60.39
2025-12-06 02:02:24,關,25.34,60.41
2025-12-06 02:07:24,關,26.95,68.57
2025-12-06 02:12:24,關,25.43,58.5
2025-12-06 02:17:24,開,26.06,57.92
2025-12-06 02:22:24,開,24.48,58.63
2025-12-06 02:27:24,關,24.82,65.64
2025-12-06 02:32:24,關,25.02,65.81
2025-12-06 02:37:24,關,31.32,67.56
2025-12-06 02:42:24,開,26.77,65.46
2025-12-06 02:47:24,關,29.5,61.54
2025-12-06 02:52:24,關,26.68,56.6
2025-12-06 02:57:24,開,27.21,60.02
2025-12-06 03:02:24,關,26.6,63.56
2025-12-06 03:07:24,開,26.09,59.3
2025-12-06 03:12:24,關,27.28,65.89
2025-12-06 03:17:24,關,27.87,66.17
2025-12-06 03:22:24,關,30.39,61.08
2025-12-06 03:27:24,開,31.28,62.78
2025-12-06 03:32:24,開,31.11,60.79
2025-12-06 03:37:24,關,29.08,57.95
