時間戳記,電燈狀態,溫度,濕度
2025-12-07 22:27:02,開,27.25,47.05
2025-12-07 22:27:04,關,17.34,63.2
2025-12-07 22:27:06,開,26.83,58.09
2025-12-07 22:27:08,關,21.35,68.61
2025-12-07 22:27:10,開,24.64,50.22
2025-12-07 22:27:12,關,17.35,65.72
2025-12-07 22:27:14,開,15.01,69.8
2025-12-07 22:27:16,關,22.39,55.3
2025-12-07 22:27:18,開,23.58,41.98
2025-12-07 22:27:20,關,16.13,47.11
2025-12-07 22:36:14,開,18.88,55.5
2025-12-07 22:36:16,關,24.88,54.7
2025-12-07 22:36:18,開,29.13,41.48
2025-12-07 22:36:20,關,27.94,63.34
2025-12-07 22:36:22,開,22.38,61.58
2025-12-07 22:36:24,關,29.02,50.51
2025-12-07 22:36:26,開,26.05,40.53
2025-12-07 22:36:28,關,20.53,54.36
2025-12-07 22:36:30,開,19.71,60.71
2025-12-07 22:36:32,關,27.8,61.35
2025-12-07 22:39:05,開,16.73,44.45
2025-12-07 22:39:07,關,23.66,44.25
2025-12-07 22:39:09,開,26.51,41.9
2025-12-07 22:39:11,關,15.8,45.55
2025-12-07 22:39:13,開,21.53,43.86
2025-12-07 22:39:15,關,26.17,60.74
2025-12-07 22:39:17,開,20.93,53.79
2025-12-07 22:39:19,關,18.03,51.12
2025-12-07 22:39:21,開,24.91,41.16
2025-12-07 22:39:23,關,22.46,60.19
